	Length [in]	Value [psi]	
1	0.	-12734	
2	1.2731e-002	-12236	
3	2.5463e-002	-11738	
4	3.8194e-002	-11240	
5	5.0925e-002	-10743	
6	6.3657e-002	-10245	
7	7.6388e-002	-9747.	
8	8.9119e-002	-9249.3	
9	0.10185	-8751.5	
10	0.11458	-8253.7	
11	0.12731	-7756.	
12	0.14004	-7258.2	
13	0.15278	-6760.4	
14	0.16551	-6262.6	
15	0.17824	-5764.9	
16	0.19097	-5267.1	
17	0.2037	-4769.3	
18	0.21643	-4271.5	
19	0.22916	-3792.3	
20	0.2419	-3318.5	
21	0.25463	-2844.6	
22	0.26736	-2370.7	
23	0.28009	-1896.9	
24	0.29282	-1423.	
25	0.30555	-949.15	
26	0.31828	-475.28	
27	0.33101	-1.4084	
28	0.34375	472.47	
29	0.35648	946.34	
30	0.36921	1420.2	
31	0.38194	1894.1	
32	0.39467	2368.	
33	0.4074	2841.9	
34	0.42013	3315.8	
35	0.43287	3789.7	
36	0.4456	4272.2	
37	0.45833	4769.9	
38	0.47106	5267.7	
39	0.48379	5765.5	
40	0.49652	6263.2	
41	0.50925	6761.	
42	0.52198	7258.8	
43	0.53472	7756.6	
44	0.54745	8254.4	
45	0.56018	8752.2	
46	0.57291	9250.	
47	0.58564	9747.8	
48	0.59837	10246	
49	0.6111	10743	
50	0.62384	11241	
51	0.63657	11739	
52	0.6493	12237	
53	0.66203	12735	
